KO,Description,Functional_Hier_A,Functional_Hier_B,Functional_Hier_C
K09027,XBP1; X box-binding protein 1,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
K23193,MYT1L; myelin transcription factor 1-like protein,Eukaryotic type,Zinc finger,Cys2HisCys zinc factors
K24386,ST18; suppression of tumorigenicity 18 protein,Eukaryotic type,Zinc finger,Cys2HisCys zinc factors
K17441,"ZFPM1, FOG1; zinc finger protein ZFPM1",Eukaryotic type,Zinc finger,Cys2HisCys zinc factors
K17442,"ZFPM2, FOG2; zinc finger protein ZFPM2",Eukaryotic type,Zinc finger,Cys2HisCys zinc factors
K11308,"MYST1, MOF, KAT8; histone acetyltransferase MYST1 [EC:2.3.1.48]",Eukaryotic type,Zinc finger,Cys2HisCys zinc factors
K11307,"MYST2, HBO1, KAT7; histone acetyltransferase MYST2 [EC:2.3.1.48]",Eukaryotic type,Zinc finger,Cys2HisCys zinc factors
K11305,"MYST3, KAT6A; histone acetyltransferase MYST3 [EC:2.3.1.48]",Eukaryotic type,Zinc finger,Cys2HisCys zinc factors
K11306,"MYST4, KAT6B; histone acetyltransferase MYST4 [EC:2.3.1.48]",Eukaryotic type,Zinc finger,Cys2HisCys zinc factors
K11304,"TIP60, KAT5, ESA1; histone acetyltransferase HTATIP [EC:2.3.1.48]",Eukaryotic type,Zinc finger,Cys2HisCys zinc factors
K24387,L3MBTL; lethal(3)malignant brain tumor-like protein,Eukaryotic type,Zinc finger,Cys2HisCys zinc factors
K15263,LYER; cell growth-regulating nucleolar protein,Eukaryotic type,Zinc finger,Cys2HisCys zinc factors
K24388,ZC3H8; zinc finger CCCH domain-containing protein 8,Eukaryotic type,Zinc finger,Cys3His zinc factors
K15690,RC3H; RING finger and CCCH-type zinc finger domain-containing protein,Eukaryotic type,Zinc finger,Cys3His zinc factors
K10643,"CNOT4, NOT4, MOT2; CCR4-NOT transcription complex subunit 4 [EC:2.3.2.27]",Eukaryotic type,Zinc finger,Cys3His zinc factors
K23203,THAP1_3; THAP domain-containing protein 1/3,Eukaryotic type,Zinc finger,Cys2CysHis zinc factors
K23206,THAP5_8; THAP domain-containing protein 5/8,Eukaryotic type,Zinc finger,Cys2CysHis zinc factors
K23208,THAP7; THAP domain-containing protein 7,Eukaryotic type,Zinc finger,Cys2CysHis zinc factors
K23210,THAP10; THAP domain-containing protein 10,Eukaryotic type,Zinc finger,Cys2CysHis zinc factors
K23211,THAP11; THAP domain-containing protein 11,Eukaryotic type,Zinc finger,Cys2CysHis zinc factors
K09186,MLL1; [histone H3]-lysine4 N-trimethyltransferase MLL1 [EC:2.1.1.354],Eukaryotic type,Zinc finger,CXXC CpG-binding proteins
K14959,MLL4; [histone H3]-lysine4 N-trimethyltransferase MLL4 [EC:2.1.1.354],Eukaryotic type,Zinc finger,CXXC CpG-binding proteins
K14960,"CXXC1, SPP1, CPS40; COMPASS component SPP1",Eukaryotic type,Zinc finger,CXXC CpG-binding proteins
K22760,CXXC5; CXXC-type zinc finger protein 5,Eukaryotic type,Zinc finger,CXXC CpG-binding proteins
K13097,TET1; methylcytosine dioxygenase [EC:1.14.11.80],Eukaryotic type,Zinc finger,CXXC CpG-binding proteins
K24309,TET2_3; methylcytosine dioxygenase TET2/3 [EC:1.14.11.80],Eukaryotic type,Zinc finger,CXXC CpG-binding proteins
K00558,"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]",Eukaryotic type,Zinc finger,CXXC CpG-binding proteins
K10276,"FBXL10_11, KDM2; F-box and leucine-rich repeat protein 10/11 [EC:1.14.11.27]",Eukaryotic type,Zinc finger,CXXC CpG-binding proteins
K10285,FBXL19; F-box and leucine-rich repeat protein 19,Eukaryotic type,Zinc finger,CXXC CpG-binding proteins
K11589,MBD1; methyl-CpG-binding domain protein 1,Eukaryotic type,Zinc finger,CXXC CpG-binding proteins
K03344,IDAX; Dvl-binding protein IDAX,Eukaryotic type,Zinc finger,CXXC CpG-binding proteins
K09240,CAT8; transcriptional regulatory protein CAT8,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K27389,"RDS2, ERT1, GSM1; transcription activator of gluconeogenesis",Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K09241,GAL4; transcriptional regulatory protein GAL4,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K09242,LEU3; transcriptional regulatory protein LEU3,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K09243,UME6; transcriptional regulatory protein UME6,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K09244,AMDR; transcriptional regulatory protein AMDR,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K09245,UGA3; transcriptional activator protein UGA3,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K09246,"ARG81, ARGR2; arginine metabolism regulation protein II",Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K09247,"CYP1, HAP1; heme activator protein 1",Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K09248,PUT3; proline utilization trans-activator,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K21641,RGT1; glucose transport transcription regulator RGT1,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K21546,GLIZ; C6 transcription factor GliZ,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K21450,ARAR; arabinolytic transcriptional activator AraR,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K23629,ASAR; C6 transcription factor AsaR,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K21547,"PRO1, NOSA; C6 transcription factor Pro1",Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K21632,WOR2; white-opaque regulator 2,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K21633,CZF1; zinc cluster transcription factor CZF1,Eukaryotic type,Zinc finger,Cys6 metabolic regulators in fungi
K11467,"PHF1, PCL1; PHD finger protein 1",Eukaryotic type,Zinc finger,Other zinc fingers
K23310,PHF6; PHD finger protein 6,Eukaryotic type,Zinc finger,Other zinc fingers
K11486,"PHF19, PCL3; PHD finger protein 19",Eukaryotic type,Zinc finger,Other zinc fingers
K26271,"MS1, MMD1; PHD finger protein MS1/MMD1",Eukaryotic type,Zinc finger,Other zinc fingers
K26274,AL; PHD finger protein ALFIN-LIKE,Eukaryotic type,Zinc finger,Other zinc fingers
K11485,"MTF2, PCL2; metal regulatory transcription factor 2",Eukaryotic type,Zinc finger,Other zinc fingers
K12236,NFX1; transcriptional repressor NF-X1,Eukaryotic type,Zinc finger,Other zinc fingers
K19749,RAI1; retinoic acid-induced protein 1,Eukaryotic type,Zinc finger,Other zinc fingers
K09250,CNBP; cellular nucleic acid-binding protein,Eukaryotic type,Zinc finger,Other zinc fingers
K24369,ZC4H2; zinc finger C4H2 domain-contaning protein,Eukaryotic type,Zinc finger,Other zinc fingers
K24769,TCF20; transcription factor 20,Eukaryotic type,Zinc finger,Other zinc fingers
K22383,IRF2BP; interferon regulatory factor 2-binding protein,Eukaryotic type,Zinc finger,Other zinc fingers
K27448,IRF2BP2; interferon regulatory factor 2-binding protein 2,Eukaryotic type,Zinc finger,Other zinc fingers
K09249,"ABF1, BAF1; ARS-binding factor 1",Eukaryotic type,Zinc finger,Other zinc fingers
K21950,HOXA9; homeobox protein Hox-A9,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09294,HOX_9; homeobox protein HoxB/C/D9,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K17443,HOXA10; homrobox protein Hox-A10,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K17444,HOXC10; homrobox protein Hox-C10,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09295,HOXD10; homrobox protein Hox-D10,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K21951,HOXA11; homeobox protein Hox-A11,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09296,HOX_11; homeobox protein HoxC/D11,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09297,HOX_12; homeobox protein HoxC/D12,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09298,HOX_13; homeobox protein HoxA/B/C/D13,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09301,HOX_1; homeobox protein HoxA/B/D1,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09302,HOX_2; homeobox protein HoxA/B2,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09303,HOX_3; homeobox protein HoxA/B/D3,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09304,HOX_4; homeobox protein HoxA/B/C/D4,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09305,HOX_5; homeobox protein HoxA/B/C5,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09306,HOX_6; homeobox protein HoxA/B/C6,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09307,HOX_7; homeobox protein HoxA/B7,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09308,HOX_8; homeobox protein HoxB/C/D8,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09310,GSH; homeobox protein GSH,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K07594,"IPF1, PDX1; insulin promoter factor 1",Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09312,CDX1_4; homeobox protein CDX1/4,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K22234,CDX2; homeobox protein CDX2,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09320,EVX; homeobox even-skipped homolog protein,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09321,GBX; homeobox protein GBX,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K08025,"HLXB9, HB9; homeobox protein HB9",Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09322,"MEOX, MOX; homeobox protein MOX",Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09300,ABDB; homeobox protein abdominal-B and related proteins,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K18659,BCD; homeotic protein bicoid,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: HOXL
K09309,NKX1; homeobox protein Nkx-1,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09342,"NKX2-1, TITF1; homeobox protein Nkx-2.1",Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K08029,NKX2-2; homeobox protein Nkx-2.2,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09343,NKX2-3; homeobox protein Nkx-2.3,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09344,NKX2-4; homeobox protein Nkx-2.4,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09345,NKX2-5; homeobox protein Nkx-2.5,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09346,NKX2-6; homeobox protein Nkx-2.6,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09347,NKX2-8; homeobox protein Nkx-2.8,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09348,NKX3-1; homeobox protein Nkx-3.1,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09995,"NKX3-2, BAPX1; homeobox protein Nkx-3.2",Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09349,"NKX5, HMX; homeobox protein Nkx-5",Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K08030,NKX6-1; homeobox protein Nkx-6.1,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09350,NKX6-2; homeobox protein Nkx-6.2,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09351,NKX6-3; homeobox protein Nkx-6.3,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09352,"NKXN; homeobox protein Nkx, invertebrate",Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K27662,PNX; homeobox protein Pnx,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09314,DLX1_4_6; homeobox protein DLX1/4/6,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K18488,DLX2; homeobox protein DLX2,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09315,DLX3; homeobox protein DLX3,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K18489,DLX5; homeobox protein DLX5,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09340,"TLX1, HOX11; T-cell leukemia homeobox protein 1",Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K15606,"TLX2, HOX11L1; T-cell leukemia homeobox protein 2",Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K15607,"TLX3, HOX11L2; T-cell leukemia homeobox protein 3",Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09339,HLX1; homeobox protein HLX1,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09317,EMX; homeobox protein EMX,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09318,VAX; homeobox protein ventral anterior,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09319,EN; homeobox protein engrailed,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09341,MSX; homeobox protein MSX,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09353,LBX; homeobox protein LBX,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K08024,"HHEX, HEX, PRH; homeobox protein HEX",Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09360,BARHL; BarH-like,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09361,BARX; BarH-like homeobox,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K10164,NANOG; homeobox protein Nanog,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K24874,BSX; brain-specific homeobox protein,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K24875,DBX; homeobox protein DBX,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K24876,NOTO; homeobox protein notochord,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K24877,VENTX; homeobox protein VENTX,Eukaryotic type,Helix-turn-helix,Homeo domain ANTP: NKL
K09452,ARX; homeobox protein aristaless-related,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09323,ALX3; homeobox protein aristaless-like 3,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09451,ALX4; homeobox protein aristaless-like 4,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09324,GSC; homeobox protein goosecoid,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09325,GSCL; homeobox protein goosecoid-like,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09326,OTX1; homeobox protein OTX1,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K18490,OTX2; homeobox protein OTX2,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09327,PROP1; homeobox protein prophet of Pit-1,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09328,UNC4; homeobox protein Unc-4,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09329,"PRRX, PMX; paired mesoderm homeobox protein",Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09330,"PHOX2, PMX2; paired mesoderm homeobox protein 2",Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09331,SHOX; short stature homeobox protein,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09332,"RAX, RX; retina and anterior neural fold homeobox protein",Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09333,RAXL; retina and anterior neural fold homeobox-like protein,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09334,"ALX1, CART1; ALX homeobox protein 1",Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09335,VSX1; visual system homeobox protein 1,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09336,"VSX2, CHX10; visual system homeobox protein 2",Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09337,CRX; cone-rod homeobox protein,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K18491,ESX1; homeobox protein ESX1,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24199,NOBOX; homeobox protein NOBOX,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09356,PITX1; paired-like homeodomain transcription factor 1,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K04686,PITX2; paired-like homeodomain transcription factor 2,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09357,PITX3; paired-like homeodomain transcription factor 3,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09354,HESX1; homeobox protein expressed in ES cells 1,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24892,ARGFX; arginine-fifty homeobox,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24893,DMBX1; diencephalon/mesencephalon homeobox protein 1,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24894,DPRX; divergent paired-related homeobox,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24895,"DRGX, PRRXL1; dorsal root ganglia homeobox protein",Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24896,DUX; double homeobox protein,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24897,HOPX; homeodomain-only protein,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24898,ISX; intestine-specific homeobox,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24899,LEUTX; leucine-twenty homeobox,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24900,MIXL1; homeobox protein MIXL1,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24901,OTP; homeobox protein orthopedia,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24902,RHOXF1; rhox homeobox family member 1,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24903,RHOXF2; rhox homeobox family member 2,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24904,SEBOX; homeobox protein SEBOX,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K24905,TPRX1; tetra-peptide repeat homeobox protein 1,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09382,PAX1_9; paired box protein 1/9,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K15608,PAX2; paired box protein 2,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09381,PAX3_7; paired box protein 3/7,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K08032,PAX4; paired box protein 4,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09383,PAX5; paired box protein 5,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K08031,PAX6; paired box protein 6,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09293,PAX8; paired box protein 8,Eukaryotic type,Helix-turn-helix,Homeo domain Paired-related
K09370,ISL1; insulin gene enhancer protein ISL-1,Eukaryotic type,Helix-turn-helix,Homeo domain LIM
K18492,ISL2; insulin gene enhancer protein ISL-2,Eukaryotic type,Helix-turn-helix,Homeo domain LIM
K09371,LMX1; LIM homeobox transcription factor 1,Eukaryotic type,Helix-turn-helix,Homeo domain LIM
K09372,LHX1; LIM homeobox protein 1,Eukaryotic type,Helix-turn-helix,Homeo domain LIM
K09373,LHX2_9; LIM homeobox protein 2/9,Eukaryotic type,Helix-turn-helix,Homeo domain LIM
K09374,LHX3_4; LIM homeobox protein 3/4,Eukaryotic type,Helix-turn-helix,Homeo domain LIM
K18493,LHX5; LIM homeobox protein 5,Eukaryotic type,Helix-turn-helix,Homeo domain LIM
K09375,LHX6_8; LIM homeobox protein 6/8,Eukaryotic type,Helix-turn-helix,Homeo domain LIM
K09377,CSRP; cysteine and glycine-rich protein,Eukaryotic type,Helix-turn-helix,Homeo domain LIM
K09363,"POU1F, PIT1; POU domain transcription factor, class 1",Eukaryotic type,Helix-turn-helix,Homeo domain POU
K09364,"POU2F, OTF; POU domain transcription factor, class 2",Eukaryotic type,Helix-turn-helix,Homeo domain POU
K09365,"POU3F, OTF; POU domain transcription factor, class 3",Eukaryotic type,Helix-turn-helix,Homeo domain POU
K09366,"POU4F, BRN3; POU domain transcription factor, class 4",Eukaryotic type,Helix-turn-helix,Homeo domain POU
K09367,"POU5F; POU domain transcription factor, class 5",Eukaryotic type,Helix-turn-helix,Homeo domain POU
K09368,"POU6F; POU domain transcription factor, class 6",Eukaryotic type,Helix-turn-helix,Homeo domain POU
K24884,HDX; highly divergent homeobox,Eukaryotic type,Helix-turn-helix,Homeo domain POU
K08036,"TCF1, HNF1A; transcription factor 1, hepatocyte nuclear factor 1-alpha",Eukaryotic type,Helix-turn-helix,Homeo domain POU
K08034,"TCF2, HNF1B; transcription factor 2, hepatocyte nuclear factor 1-beta",Eukaryotic type,Helix-turn-helix,Homeo domain POU
K24885,HMBOX1; homeobox-containing protein 1,Eukaryotic type,Helix-turn-helix,Homeo domain POU
K15614,SIX1; homeobox protein SIX1,Eukaryotic type,Helix-turn-helix,Homeo domain SINE
K19472,SIX2; homeobox protein SIX2,Eukaryotic type,Helix-turn-helix,Homeo domain SINE
K19473,"SIX3_6, OPTIX; homeobox protein SIX3/6",Eukaryotic type,Helix-turn-helix,Homeo domain SINE
K15615,SIX4; homeobox protein SIX4,Eukaryotic type,Helix-turn-helix,Homeo domain SINE
K19474,SIX5; homeobox protein SIX5,Eukaryotic type,Helix-turn-helix,Homeo domain SINE
K09379,ZFHX2; zinc finger homeobox protein 2,Eukaryotic type,Helix-turn-helix,Homeo domain ZF
K09378,"ZFHX3, ATBF1; zinc finger homeobox protein 3",Eukaryotic type,Helix-turn-helix,Homeo domain ZF
K09380,ZFHX4; zinc finger homeobox protein 4,Eukaryotic type,Helix-turn-helix,Homeo domain ZF
K09299,ZEB1; zinc finger homeobox protein 1,Eukaryotic type,Helix-turn-helix,Homeo domain ZF
K23560,ZEB2; zinc finger homeobox protein 2,Eukaryotic type,Helix-turn-helix,Homeo domain ZF
K22591,ADNP; activity-dependent neuroprotector homeobox protein,Eukaryotic type,Helix-turn-helix,Homeo domain ZF
K24878,ADNP2; activity-dependent neuroprotector homeobox protein 2,Eukaryotic type,Helix-turn-helix,Homeo domain ZF
K24879,ZHX1; zinc fingers and homeoboxes protein 1,Eukaryotic type,Helix-turn-helix,Homeo domain ZF
K24880,ZHX2; zinc fingers and homeoboxes protein 2,Eukaryotic type,Helix-turn-helix,Homeo domain ZF
K24881,ZHX3; zinc fingers and homeoboxes protein 3,Eukaryotic type,Helix-turn-helix,Homeo domain ZF
K24883,HOMEZ; homeobox and leucine zipper protein Homez,Eukaryotic type,Helix-turn-helix,Homeo domain ZF
K24882,NANOGNB; NANOG neighbor homeobox,Eukaryotic type,Helix-turn-helix,Homeo domain ZF
K09313,CUTL; homeobox protein cut-like,Eukaryotic type,Helix-turn-helix,Homeo domain CUT
K08026,"ONECUT1, HNF6; one cut domain, family member 1 (hepatocyte nuclear factor 6)",Eukaryotic type,Helix-turn-helix,Homeo domain CUT
K24170,ONECUT2; one cut domain family member 2,Eukaryotic type,Helix-turn-helix,Homeo domain CUT
K24171,ONECUT3; one cut domain family member 3,Eukaryotic type,Helix-turn-helix,Homeo domain CUT
K23225,SATB1; DNA-binding protein SATB1,Eukaryotic type,Helix-turn-helix,Homeo domain CUT
K23226,SATB2; DNA-binding protein SATB2,Eukaryotic type,Helix-turn-helix,Homeo domain CUT
K20211,PROX1; prospero homeobox 1,Eukaryotic type,Helix-turn-helix,Homeo domain PROS
K20212,PROX2; prospero homeobox 2,Eukaryotic type,Helix-turn-helix,Homeo domain PROS
K09355,PBX1; pre-B-cell leukemia transcription factor 1,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K15609,PBX2; pre-B-cell leukemia transcription factor 2,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K15610,PBX3; pre-B-cell leukemia transcription factor 3,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K15611,PBX4; pre-B-cell leukemia transcription factor 4,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K15613,MEIS1; homeobox protein Meis1,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K16670,MEIS2; homeobox protein Meis2,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K16671,MEIS3; homeobox protein Meis3,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K19383,TGIF1; homeobox protein TGIF1,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K19553,TGIF2; homeobox protein TGIF2,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K19554,"TGIF2L, TGIFL; homeobox protein TGIF2L",Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K24889,IRX; iroquois-class homeodomain protein IRX,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K24890,MKX; homeobox protein Mohawk,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K24891,PKNOX; homeobox protein PKNOX,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K16672,HTH; homeobox protein homothorax,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K09359,MATA2; mating-type protein A2,Eukaryotic type,Helix-turn-helix,Homeo domain TALE
K22536,"DAN, DANR; distal antenna",Eukaryotic type,Helix-turn-helix,Homeo domain other
K09338,HD-ZIP; homeobox-leucine zipper protein,Eukaryotic type,Helix-turn-helix,Homeo domain other
K09358,MATA1; mating-type protein A1,Eukaryotic type,Helix-turn-helix,Homeo domain other
K02646,PHO2; regulatory protein PHO2,Eukaryotic type,Helix-turn-helix,Homeo domain other
K12411,"YOX1, YHP1; homeobox protein YOX1/YHP1",Eukaryotic type,Helix-turn-helix,Homeo domain other
K09362,"K09362; homeo domain only family, other",Eukaryotic type,Helix-turn-helix,Homeo domain other
K08035,"FOXA2, HNF3B; forkhead box protein A2, hepatocyte nuclear factor 3-beta",Eukaryotic type,Helix-turn-helix,Fork head/winged helix developmental regulators
K09396,FOXC; forkhead box protein C,Eukaryotic type,Helix-turn-helix,Fork head/winged helix developmental regulators
K09385,FOXG; forkhead box protein G,Eukaryotic type,Helix-turn-helix,Fork head/winged helix developmental regulators
K09407,FOXN; forkhead box protein N,Eukaryotic type,Helix-turn-helix,Fork head/winged helix developmental regulators
K09387,"FOXA1, HNF3A; forkhead box protein A1, hepatocyte nuclear factor 3-alpha",Eukaryotic type,Helix-turn-helix,Fork head/winged helix tissue-specific regulators
K08038,"FOXA3, HNF3G; forkhead box protein A3, hepatocyte nuclear factor 3-gamma",Eukaryotic type,Helix-turn-helix,Fork head/winged helix tissue-specific regulators
K09402,FOXJ1; forkhead box protein J1,Eukaryotic type,Helix-turn-helix,Fork head/winged helix tissue-specific regulators
K17454,E2F1; transcription factor E2F1,Eukaryotic type,Helix-turn-helix,"Fork head/winged helix cell cycle-controlling factors, E2F"
K09389,E2F2; transcription factor E2F2,Eukaryotic type,Helix-turn-helix,"Fork head/winged helix cell cycle-controlling factors, E2F"
K06620,E2F3; transcription factor E2F3,Eukaryotic type,Helix-turn-helix,"Fork head/winged helix cell cycle-controlling factors, E2F"
